datum,kategorie,name,typ,strasse,hausnummer,plz,ort,lat,lon,oeffnungszeiten,website,osm_id,osm_typ
2026-03-01,Tourismus,–,information,,,,Castrop-Rauxel,51.6032196,7.2977126,,,245943049,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5266441,7.334466,,,251187706,node
2026-03-01,Gastronomie/Service,–,parking,,,,Castrop-Rauxel,51.5220166,7.3292437,,,259405485,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5250282,7.3204711,,,269846663,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5372219,7.3158708,,,269850736,node
2026-03-01,Gastronomie/Service,–,pub,,,,Castrop-Rauxel,51.5403195,7.3117834,,,269862716,node
2026-03-01,Laden/Geschäft,–,kiosk,Cottenburgstraße,68,44575,Castrop-Rauxel,51.5412542,7.3161398,,,269882399,node
2026-03-01,Gastronomie/Service,Postbank,bank,Lönsstraße,20,44575,Castrop-Rauxel,51.5491946,7.3080942,"Mo-Fr 09:30-18:00; Sa 10:00-13:00; PH,Su off",,269922516,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5503576,7.2998288,,,270688686,node
2026-03-01,Gastronomie/Service,HEM,fuel,Herner Straße,,44575,Castrop-Rauxel,51.550534,7.2992809,,,270688687,node
2026-03-01,Gastronomie/Service,–,parking,,,,Castrop-Rauxel,51.5562973,7.2861916,,,270694319,node
2026-03-01,Gastronomie/Service,Swabedo,kindergarten,,,,Castrop-Rauxel,51.5525963,7.3252358,,,271884446,node
2026-03-01,Gastronomie/Service,–,post_box,Ringstraße,25,44575,Castrop-Rauxel,51.5522169,7.3126065,,,272147079,node
2026-03-01,Gastronomie/Service,Aral,fuel,Wittener Straße,95,44575,Castrop-Rauxel,51.5434639,7.3168794,,https://www.aral.de/,274230188,node
2026-03-01,Gastronomie/Service,–,post_box,Dortmunder Straße,185,44577,Castrop-Rauxel,51.5424161,7.3349111,,,274239529,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.551804,7.3207633,,,274239558,node
2026-03-01,Tourismus,Altes Rathaus,attraction,,,,Castrop-Rauxel,51.5518014,7.313238,,,274650383,node
2026-03-01,Gastronomie/Service,–,parking,,,,Castrop-Rauxel,51.5508655,7.3092504,,,274660948,node
2026-03-01,Gastronomie/Service,Targobank,bank,Am Markt,24 - 25,44575,Castrop-Rauxel,51.5479417,7.3109897,"Mo-Fr 10:00-13:00, Mo,Tu,Th 14:00-18:00; PH,Su off",,275429211,node
2026-03-01,Gastronomie/Service,Sparkasse Vest,bank,Am Markt,13,44575,Castrop-Rauxel,51.5477559,7.3120676,"Mo-Fr 09:00-12:30; PH,Sa,Su off, Mo 14:00-16:00, Th 14:00-18:00",https://www.sparkasse-re.de/,275429215,node
2026-03-01,Gastronomie/Service,Haus Daun,restaurant,Bochumer Straße,266,44575,Castrop-Rauxel,51.5326635,7.2971772,"Mo-Su,PH 13:00-21:00",http://www.hoteldaun.de/,275696003,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5477888,7.3022915,,,275705554,node
2026-03-01,Gastronomie/Service,–,waste_basket,,,,Castrop-Rauxel,51.547827,7.3023261,,,275705555,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5478125,7.3023134,,,275705557,node
2026-03-01,Gastronomie/Service,Erinpark/Starterzentrum,parking,,,,Castrop-Rauxel,51.5457491,7.30543,,,275705619,node
2026-03-01,Gastronomie/Service,–,toilets,,,,Castrop-Rauxel,51.5999383,7.3341978,,,276072639,node
2026-03-01,Gastronomie/Service,–,parking,,,,Castrop-Rauxel,51.5481904,7.3191117,,,276343400,node
2026-03-01,Gastronomie/Service,Katholischer Kindergarten St. Marien Merklinde,kindergarten,,,,Castrop-Rauxel,51.5271083,7.3255993,,,277008105,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5655141,7.3339564,,,277017385,node
2026-03-01,Gastronomie/Service,Grundschule Deininghausen,parking,,,,Castrop-Rauxel,51.567225,7.3339652,,,277017395,node
2026-03-01,Gastronomie/Service,–,post_box,Am Markt,17,44575,Castrop-Rauxel,51.5471868,7.3113627,,,277836633,node
2026-03-01,Gastronomie/Service,Cafe Extrablatt,cafe,,,,Castrop-Rauxel,51.5480617,7.3114542,,,277836984,node
2026-03-01,Gastronomie/Service,Altstadtapotheke,pharmacy,Am Markt,18,44575,Castrop-Rauxel,51.547105,7.3112789,"Mo,Tu,Th,Fr 08:00-18:30; Sa 09:00-13:00; We 08:00-13:00; PH,Su off",https://www.altstadt-apotheke.com/,277837650,node
2026-03-01,Gastronomie/Service,–,post_box,Harkortstraße,2,44577,Castrop-Rauxel,51.5272332,7.3208104,,,278038155,node
2026-03-01,Gastronomie/Service,–,post_box,Auf der Flur,,44581,Castrop-Rauxel,51.6075359,7.3062498,,,278113312,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5300127,7.3217478,,,278351076,node
2026-03-01,Gastronomie/Service,St. Marien,place_of_worship,,,,Castrop-Rauxel,51.5263343,7.3239697,,,278648718,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.610018,7.3065024,,,278827395,node
2026-03-01,Gastronomie/Service,Naxos Grill Restaurant,fast_food,Wittener Straße,348,44577,Castrop-Rauxel,51.5270751,7.3228731,,,280714143,node
2026-03-01,Laden/Geschäft,Chemische Reinigung Kalhöfer,dry_cleaning,,,,Castrop-Rauxel,51.5268574,7.3210376,"Mo-We,Fr 08:00-15:00, Th 08:00-18:00",,280714144,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5378308,7.3184189,,,281253843,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5448195,7.3029922,,,281253845,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.587105,7.3280773,,,281571674,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5927801,7.3507575,,,281584581,node
2026-03-01,Gastronomie/Service,–,post_box,Lange Straße,90,44579,Castrop-Rauxel,51.5853133,7.3165232,,,281584585,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5732751,7.3047565,,,281585028,node
2026-03-01,Gastronomie/Service,–,post_box,Bochumer Straße,273,44575,Castrop-Rauxel,51.5326729,7.2975376,,,281803568,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5405104,7.3174381,,,281803574,node
2026-03-01,Gastronomie/Service,–,bench,,,,Castrop-Rauxel,51.5438406,7.3114343,,,281808030,node
2026-03-01,Laden/Geschäft,–,kiosk,,,,Castrop-Rauxel,51.5425476,7.3322103,,,281900321,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5412379,7.3085754,,,282046589,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5512333,7.2941737,,,282047454,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5788077,7.2655895,,,282048277,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5276257,7.3176521,,,282877015,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5263281,7.3151256,,,282877016,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5438614,7.31717,Mo-Sa 07:00-20:00,,282877039,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.550317,7.3110667,,,282877040,node
2026-03-01,Gastronomie/Service,–,post_box,Obere Münsterstraße,10,44575,Castrop-Rauxel,51.5513074,7.3099568,,,282877042,node
2026-03-01,Gastronomie/Service,–,post_box,Im Sandweg,1,44575,Castrop-Rauxel,51.5564367,7.3100359,,,282877044,node
2026-03-01,Gastronomie/Service,Amtsgericht Castrop-Rauxel,courthouse,,,,Castrop-Rauxel,51.5576013,7.3098584,,,282877045,node
2026-03-01,Gastronomie/Service,–,post_box,Bahnhofstraße,,44575,Castrop-Rauxel,51.5587465,7.3087378,,,282877046,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5709213,7.2943624,,,282877048,node
2026-03-01,Gastronomie/Service,–,post_box,Schulstraße,44,44579,Castrop-Rauxel,51.5698728,7.3002529,,,282877050,node
2026-03-01,Gastronomie/Service,–,post_box,Bahnhofstraße,267,44579,Castrop-Rauxel,51.5681108,7.3072422,,,282877053,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5600654,7.3231591,,,282877055,node
2026-03-01,Freizeit,"Turnerbund Rauxel, TBR, Tennis",sports_centre,,,,Castrop-Rauxel,51.5840593,7.3003493,,,283792349,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5872646,7.3039028,,,283792353,node
2026-03-01,Freizeit,–,playground,,,,Castrop-Rauxel,51.5985698,7.3242434,,,315148776,node
2026-03-01,Freizeit,Buschspielplatz,playground,,,,Castrop-Rauxel,51.5875936,7.3233484,,,358512152,node
2026-03-01,Laden/Geschäft,Tattoo bei Hartmut,tattoo,,,,Castrop-Rauxel,51.5275798,7.3226202,Mo-Fr 14:30-19:00,,359685594,node
2026-03-01,Laden/Geschäft,Kohl,car,,,,Castrop-Rauxel,51.5258122,7.3179957,,,359685600,node
2026-03-01,Gastronomie/Service,–,post_box,,,,Castrop-Rauxel,51.5254526,7.315094,,,359685606,node
2026-03-01,Tourismus,Stählerne Sonnenuhr,attraction,,,,Castrop-Rauxel,51.5459788,7.3373272,,,375717299,node
2026-03-01,Freizeit,Sporttreff Castrop-Rauxel,sports_centre,Industriestraße,1a,44577,Castrop-Rauxel,51.6003761,7.2989575,,,384540066,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5696942,7.3352676,,,389465951,node
2026-03-01,Gastronomie/Service,Sparkasse Vest,bank,Dortmunder Straße,156,44577,Castrop-Rauxel,51.5420954,7.332492,"Mo-We,Fr 08:30-12:30,14:00-16:30, Th 08:30-12:30,14:00-18:00",https://www.sparkasse-re.de/,415462780,node
2026-03-01,Gastronomie/Service,Elefanten Apotheke,pharmacy,Dortmunder Straße,160,44577,Castrop-Rauxel,51.5419698,7.3327142,Mo-Fr 08:00-18:30; Sa 08:00-13:00,https://www.elefanten-apotheke.com/,415462781,node
2026-03-01,Gastronomie/Service,Postagentur,post_office,Berliner Platz,11,,Castrop-Rauxel,51.5732618,7.305472,,,416322276,node
2026-03-01,Laden/Geschäft,Markus Schetat Frisöre,hairdresser,Wittener Straße,349,44577,Castrop-Rauxel,51.5275612,7.323455,"Tu-Fr 08:30-18:00, Sa 07:30-13:00",http://www.marcus-schetat.de/,420435658,node
2026-03-01,Laden/Geschäft,MediaMarkt,electronics,Siemensstraße,16,44579,Castrop-Rauxel,51.5802828,7.3049244,Mo-Sa 10:00-19:00,https://www.mediamarkt.de/de/store/castrop-rauxel-251,421673097,node
2026-03-01,Laden/Geschäft,JYSK,furniture,Siemensstraße,16,44579,Castrop-Rauxel,51.5804832,7.3062008,Mo-Fr 09:30-19:00; Sa 10:00-18:00,,421673098,node
2026-03-01,Laden/Geschäft,tedox,doityourself,Siemensstraße,14,44579,Castrop-Rauxel,51.580467,7.305718,"Mo-Fr 09:00-20:00, 09:00-19:00",https://www.tedox.de,421673099,node
2026-03-01,Laden/Geschäft,Aldi Nord,supermarket,Lambertstraße,2a,44581,Castrop-Rauxel,51.5994612,7.312111,Mo-Sa 08:00-20:00,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/castrop-rauxel/lambertstrasse-2-a/3181131,421673104,node
2026-03-01,Laden/Geschäft,Bäckerei und Konditorei Auffenberg,bakery,Lambertstraße,4,44581,Castrop-Rauxel,51.5994457,7.3117524,Mo-Fr 07:00-18:00; Sa 07:00-14:00; Su 08:00-18:00,http://ww.auffenberg.de,421673106,node
2026-03-01,Laden/Geschäft,GRAZIA Brautmoden,clothes,Münsterplatz,,44575,Castrop-Rauxel,51.5498346,7.3090505,,,422574154,node
2026-03-01,Laden/Geschäft,Löwenzahn,convenience,Lönsstraße,18,44575,Castrop-Rauxel,51.5488496,7.3081579,"Mo-Fr 09:00-18:30; Sa 09:00-14:00; PH,Su off",http://www.bio-loewenzahn81.de/,422574163,node
2026-03-01,Laden/Geschäft,Alles & Mehr - Der Kiosk am Münsterplatz,kiosk,Münsterplatz,,44575,Castrop-Rauxel,51.5489583,7.308311,Mo-Fr 06:00-20:00; Sa 09:00-21:00; Su 11:00-20:00,,422574169,node
2026-03-01,Gastronomie/Service,Arztpraxis Janina Mucha,doctors,Münsterplatz,,44575,Castrop-Rauxel,51.5489684,7.3084625,"Mo-Th 09:00-11:00, Mo,Tu,Th 15:00-17:00, Fr 07:30-13:00",,422574172,node
2026-03-01,Laden/Geschäft,Takko Fashion,clothes,Im Ort,13,44575,Castrop-Rauxel,51.5490584,7.3087294,Mo-Fr 09:00-19:00; Sa 09:00-18:00; PH closed,https://www.takko.com/de-de/stores/#!/l/castrop-rauxel/im-ort-13/1521,422574174,node
2026-03-01,Gastronomie/Service,Paracelsus Apotheke,pharmacy,Im Ort,4,44575,Castrop-Rauxel,51.5490962,7.308938,Mo-Fr 08:00-18:30; Sa 09:00-13:00,https://www.paracelsus-apotheke.online/,422574177,node
2026-03-01,Gastronomie/Service,Istanbul Grill,fast_food,Im Ort,4,44575,Castrop-Rauxel,51.5491857,7.3091449,Mo-Sa 10:00-22:00; Su closed,,422574180,node
2026-03-01,Gastronomie/Service,Eiscafe Avola,cafe,Im Ort,6,44575,Castrop-Rauxel,51.5493228,7.3091262,Mo-Sa 10:00-19:00; Su 12:00-19:00,,422574182,node
2026-03-01,Gastronomie/Service,Stern Apotheke,pharmacy,Münsterplatz,7,44575,Castrop-Rauxel,51.5501017,7.3099678,"Mo, Tu, Th, Fr 08:00-18:30; We 08:00-13:00; Sa 09:00-13:00",https://stern-apotheke-castrop.de/,422574187,node
2026-03-01,Laden/Geschäft,Sanitätshaus Frick,medical_supply,Münsterplatz,8,44575,Castrop-Rauxel,51.5500024,7.310325,"Mo-Fr 08:30-18:00; Sa 09:00-13:00; PH,Su off",https://www.sanitaetshaus-frick.de/,422574195,node
2026-03-01,Laden/Geschäft,Claasen,optician,,,,Castrop-Rauxel,51.5496621,7.3104778,,,422574197,node
2026-03-01,Laden/Geschäft,Schum EuroShop,variety_store,Münsterstraße,13,44575,Castrop-Rauxel,51.549447,7.310324,Mo-Fr 09:00-18:30; Sa 09:00-16:00,,422574200,node
2026-03-01,Laden/Geschäft,Laumen,car,,,,Castrop-Rauxel,51.5715375,7.3135817,,,422574203,node
2026-03-01,Gastronomie/Service,Konfeng Tang,restaurant,Am Bennertor,4,44575,Castrop-Rauxel,51.5481816,7.3134359,"Mo-Su 11:30-15:00, 17:30-23:00",https://www.tang-cas.de/,424975352,node
2026-03-01,Laden/Geschäft,Brillenphantasien Hagemann,optician,Am Markt,15,44575,Castrop-Rauxel,51.5473244,7.3119642,We-Fr 08:30-18:30; Sa 08:30-14:00,https://www.brillenphantasien.de/,424975356,node
2026-03-01,Laden/Geschäft,Juwelier Zimmer,jewelry,,,,Castrop-Rauxel,51.54798,7.310837,"Mo-Fr 09:30-19:00; Sa 09:30-16:00; PH,Su off",,424975359,node
2026-03-01,Gastronomie/Service,Kulisse,pub,Münsterstraße,1b,44575,Castrop-Rauxel,51.5482408,7.3100966,Mo-Th 16:00-00:15; Fr 16:00-01:30; Sa 10:30-01:30; Su 17:00-22:00,,424975362,node
2026-03-01,Gastronomie/Service,Brauhaus Rütershoff,pub,Schillerstraße,33,44575,Castrop-Rauxel,51.5416081,7.310912,"Mo-Fr 17:00-18:00+, Sa,Su,PH 11:00-18:00+",https://brauhaus-ruetershoff.de/,424975375,node
2026-03-01,Gastronomie/Service,Bei Michele,restaurant,Wittener Straße,120,44575,Castrop-Rauxel,51.5414583,7.3171242,"Mo-Sa 12:00-15:00,17:30-24:00; Su 12:00-15:00,17:30-23:00;We off",,424975381,node
2026-03-01,Gastronomie/Service,Wendt,car_wash,Westring,210,44579,Castrop-Rauxel,51.5521255,7.2945733,,http://www.ws-wendt.de,424975389,node
2026-03-01,Laden/Geschäft,Lotto Behring,convenience,Am Markt,2,44575,Castrop-Rauxel,51.5481849,7.3106666,"Mo-Fr 08:00-19:00; Sa 08:00-14:00; PH,Su off",,424975396,node
2026-03-01,Laden/Geschäft,Friseursalon Mert,hairdresser,Am Stadtgarten,,44575,Castrop-Rauxel,51.5471062,7.3116555,"Mo-Fr 08:00-18:30; Sa 08:00-13:00; PH,Su off",,424975402,node
2026-03-01,Laden/Geschäft,EDEKA Gronemann,supermarket,Dortmunder Straße,32,44575,Castrop-Rauxel,51.5472295,7.318063,Mo-Sa 08:00-21:00,https://www.edeka-gronemann.de/,424975408,node
2026-03-01,Gastronomie/Service,mund.gesund,dentist,Münsterplatz,6,44575,Castrop-Rauxel,51.5499198,7.3096554,"Mo-Fr 09:00-12:00, Mo,Tu,Th 15:00-17:00",,424975421,node
2026-03-01,Laden/Geschäft,Standpunkt le paris,clothes,Lönsstraße,6-8,44575,Castrop-Rauxel,51.5481321,7.3091279,"Mo-Fr 10:00-18:30; Sa 10:00-16:00; PH,Su off",https://www.leparis.de/,424975440,node
2026-03-01,Laden/Geschäft,Tina Nails,cosmetics,Lönsstraße,6,44575,Castrop-Rauxel,51.5480876,7.3091937,,https://www.standpunkt.biz/,424975441,node
2026-03-01,Gastronomie/Service,Bürgerhaus,arts_centre,Leonhardstraße,4-6,44575,Castrop-Rauxel,51.5469923,7.3101272,,https://www.castrop-rauxel.de/inhalte/stadtinformation_kultur_freizeit/kultur/buergerhaus/index.php,426889536,node
2026-03-01,Gastronomie/Service,City Apotheke,pharmacy,Münsterstraße,1c,44575,Castrop-Rauxel,51.5483217,7.3102068,"Mo-Fr 08:00-18:30; Sa 08:00-13:30; PH,Su off",https://www.cityapothekecas.de/,426889540,node
2026-03-01,Laden/Geschäft,Margarita Lebensmittel,convenience,Obere Münsterstraße,7,44575,Castrop-Rauxel,51.5509498,7.3098933,,,426889542,node
2026-03-01,Gastronomie/Service,Pizzeria Bei Lucky,fast_food,Wittener Straße,32,44575,Castrop-Rauxel,51.5475744,7.3133975,Mo-Th 11:30-23:00; Fr-Sa 16:00-23:00; Su 15:00-23:00; PH closed,,427965446,node
2026-03-01,Laden/Geschäft,–,vacant,,,,Castrop-Rauxel,51.5490431,7.3102569,,,427965447,node
2026-03-01,Gastronomie/Service,–,recycling,,,,Castrop-Rauxel,51.5994907,7.3061097,,,428845499,node
2026-03-01,Gastronomie/Service,Deininghauser Bach,parking,,,,Castrop-Rauxel,51.5706602,7.3365607,,,440089987,node
2026-03-01,Gastronomie/Service,Alte Apotheke,pharmacy,Wittener Straße,32,44575,Castrop-Rauxel,51.5475009,7.3134746,"Mo-Fr 08:00-13:00,14:30-18:30; Sa 08:30-13:30",http://www.alte-apotheke-castrop.de/,442056023,node
2026-03-01,Laden/Geschäft,Zweirad Schmitz GmbH,bicycle,,,,Castrop-Rauxel,51.5694673,7.3141678,,,467746818,node
